Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
<<<<<<< HEAD
Density functional theory quantum simulations of graphene,Labelled images of raw input to a simulation of graphene,Raw data (in HDF5 format) and output labels from density functional theory quantum simulation,60744 test and 501473 and training files,Labeled images,Regression,2019,[129],K. Mills & I. Tamblyn
Quantum simulations of an electron in a two dimensional potential well,Labelled images of raw input to a simulation of 2d Quantum mechanics,Raw data (in HDF5 format) and output labels from quantum simulation,1.3 million images,Labeled images,Regression,2017,[130],"K. Mills, M.A. Spanner, & I. Tamblyn"
MPII Cooking Activities Dataset,Videos and images of various cooking activities.,"Activity paths and directions, labels, fine-grained motion labeling, activity class, still image extraction and labeling.","881,755 frames","Labeled video, images, text",Classification,2012,[131][132],M. Rohrbach et al.
FAMOS Dataset,"5,000 unique microstructures, all samples have been acquired 3 times with two different cameras.","Original PNG files, sorted per camera and then per acquisition. MATLAB datafiles with one 16384 times 5000 matrix per camera per acquisition.","30,000",Images and .mat files,Authentication,2012,[133],"S. Voloshynovskiy, et al."
PharmaPack Dataset,"1,000 unique classes with 54 images per class.","Class labeling, many local descriptors, like SIFT and aKaZE, and local feature agreators, like Fisher Vector (FV).","54,000",Images and .mat files,Fine-grain classification,2017,[134],"O. Taran and S. Rezaeifar, et al."
Stanford Dogs Dataset,Images of 120 breeds of dogs from around the world.,Train/test splits and ImageNet annotations provided.,"20,580","Images, text",Fine-grain classification,2011,[135][136],A. Khosla et al.
StanfordExtra Dataset,2D keypoints and segmentations for the Stanford Dogs Dataset.,2D keypoints and segmentations provided.,"12,035",Labelled images,3D reconstruction/pose estimation,2020,[137],B. Biggs et al.
The Oxford-IIIT Pet Dataset,37 categories of pets with roughly 200 images of each.,"Breed labeled, tight bounding box, foreground-background segmentation.","~ 7,400","Images, text","Classification, object detection",2012,[136][138],O. Parkhi et al.
Corel Image Features Data Set,Database of images with features extracted.,"Many features including color histogram, co-occurrence texture, and colormoments,","68,040",Text,"Classification, object detection",1999,[139][140],M. Ortega-Bindenberger et al.
Online Video Characteristics and Transcoding Time Dataset.,Transcoding times for various different videos and video properties.,Video features given.,"168,286",Text,Regression,2015,[141],T. Deneke et al.
Microsoft Sequential Image Narrative Dataset (SIND),Dataset for sequential vision-to-language,"Descriptive caption and storytelling given for each photo, and photos are arranged in sequences","81,743","Images, text",Visual storytelling,2016,[142],Microsoft Research
Caltech-UCSD Birds-200-2011 Dataset,Large dataset of images of birds.,"Part locations for birds, bounding boxes, 312 binary attributes given","11,788","Images, text",Classification,2011,[143][144],C. Wah et al.
YouTube-8M,Large and diverse labeled video dataset,YouTube video IDs and associated labels from a diverse vocabulary of 4800 visual entities,8 million,"Video, text",Video classification,2016,[145][146],S. Abu-El-Haija et al.
YFCC100M,Large and diverse labeled image and video dataset,"Flickr Videos and Images and associated description, titles, tags, and other metadata (such as EXIF and geotags)",100 million,"Video, Image, Text",Video and Image classification,2016,[147][148],B. Thomee et al.
Discrete LIRIS-ACCEDE,Short videos annotated for valence and arousal.,Valence and arousal labels.,9800,Video,Video emotion elicitation detection,2015,[149],Y. Baveye et al.
Continuous LIRIS-ACCEDE,Long videos annotated for valence and arousal while also collecting Galvanic Skin Response.,Valence and arousal labels.,30,Video,Video emotion elicitation detection,2015,[150],Y. Baveye et al.
MediaEval LIRIS-ACCEDE,Extension of Discrete LIRIS-ACCEDE including annotations for violence levels of the films.,"Violence, valence and arousal labels.",10900,Video,Video emotion elicitation detection,2015,[151],Y. Baveye et al.
Leeds Sports Pose,Articulated human pose annotations in 2000 natural sports images from Flickr.,Rough crop around single person of interest with 14 joint labels,2000,Images plus .mat file labels,Human pose estimation,2010,[152],S. Johnson and M. Everingham
Leeds Sports Pose Extended Training,"Articulated human pose annotations in 10,000 natural sports images from Flickr.",14 joint labels via crowdsourcing,10000,Images plus .mat file labels,Human pose estimation,2011,[153],S. Johnson and M. Everingham
MCQ Dataset,"6 different real multiple choice-based exams (735 answer sheets and 33,540 answer boxes) to evaluate computer vision techniques and systems developed for multiple choice test assessment systems.",None,"735 answer sheets and 33,540 answer boxes",Images and .mat file labels,Development of multiple choice test assessment systems,2017,[154][155],"Afifi, M. et al."
Surveillance Videos,Real surveillance videos cover a large surveillance time (7 days with 24 hours each).,None,19 surveillance videos (7 days with 24 hours each).,Videos,Data compression,2016,[156],"Taj-Eddin, I. A. T. F. et al."
LILA BC,Labeled Information Library of Alexandria: Biology and Conservation. Labeled images that support machine learning research around ecology and environmental science.,None,~10M images,Images,Classification,2019,[157],LILA working group
Can We See Photosynthesis?,32 videos for eight live and eight dead leaves recorded under both DC and AC lighting conditions.,None,32 videos,Videos,Liveness detection of plants,2017,[158],"Taj-Eddin, I. A. T. F. et al."
=======
Forest Fires Dataset,Forest fires and their properties.,13 features of each fire are extracted.,517,Text,Regression,2008,[384][385],P. Cortez et al.
Iris Dataset,Three types of iris plants are described by 4 different attributes.,None.,150,Text,Classification,1936,[386][387],R. Fisher
Plant Species Leaves Dataset,Sixteen samples of leaf each of one-hundred plant species.,"Shape descriptor, fine-scale margin, and texture histograms are given.",1600,Text,Classification,2012,[388][389],J. Cope et al.
Mushroom Dataset,Mushroom attributes and classification.,Many properties of each mushroom are given.,8124,Text,Classification,1987,[390],J. Schlimmer
Soybean Dataset,Database of diseased soybean plants.,35 features for each plant are given. Plants are classified into 19 categories.,307,Text,Classification,1988,[391],R. Michalski et al.
Seeds Dataset,Measurements of geometrical properties of kernels belonging to three different varieties of wheat.,None.,210,Text,"Classification, clustering",2012,[392][393],Charytanowicz et al.
Covertype Dataset,Data for predicting forest cover type strictly from cartographic variables.,Many geographical features given.,"581,012",Text,Classification,1998,[394][395],J. Blackard et al.
Abscisic Acid Signaling Network Dataset,Data for a plant signaling network. Goal is to determine set of rules that governs the network.,None.,300,Text,Causal-discovery,2008,[396],J. Jenkens et al.
Folio Dataset,20 photos of leaves for each of 32 species.,None.,637,"Images, text","Classification, clustering",2015,[397][398],T. Munisami et al.
Oxford Flower Dataset,17 category dataset of flowers.,"Train/test splits, labeled images,",1360,"Images, text",Classification,2006,[134][399],M-E Nilsback et al.
Plant Seedlings Dataset,12 category dataset of plant seedlings.,"Labelled images, segmented images,",5544,Images,"Classification, detection",2017,[400],Giselsson et al.
Fruits 360 dataset,Database with images of 120 fruits and vegetables.,"100x100 pixels, White background.",82213,Images (jpg),Classification,2017-2019,[401][402],"Mihai Oltean, Horea Muresan"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
